review	hours
This game is: 10% luck 20% skill 15% concentrated power of will 5% pleasure 50% pain 100% reason to purchase this game	180.8
In this game you are a Terrorist or elite Counter-Terrorist who has never fired a gun in their life before a round starts. You must help your character learn how to control their guns while killing enemies. Strangely, each character has the mysterious power to fire one or two shots without ridiculous recoil by very briefly jerking in the opposite direction they are moving in. When your character wears a Kevlar vest, every part of your character, except the head, are made out of steel. Therefore, the only way to quickly kill people is to shoot them in the head. This can be annoying at first, but you will soon get used to shooting a small smudge of pixels on top of a character's body. The Goddess of Guns can materialize guns in your character's hands a few seconds before a round starts. However, your character must pay for the guns, which have vastly overinflated prices. When you have the right amount of money, the Goddess will flash a menu in your character's eyes, allowing them to select the guns they want. More advanced users can make guns materialize out of thin air with their mind as long as they have the right amount of money. Maps are often about evil terrorists trying to bomb deserted places. Vandalism is a very serious crime in the Counter-Strike series, so elite Counter-Terrorists are deployed to stop them. Unfortunately for the Terrorists, they are dumb and only packed one bomb. However, the Counter-Terrorists do not know how to pick up a dropped bomb, so the Terrorists can still pick it up after it is dropped by a fallen friend. In some maps, the terrorists have kidnapped a janitor and low-level desk jockey in a building. The Counter-Terrorists have been deployed to save one, not both, of the hostages. In reality, this is just a thinly-veiled excuse for the CTs to murder the Terrorists while pumping rounds into the invincible hostages. One weird thing about hostage maps is that you can purchase a "Hostage Rescue Kit", which somehow makes gives you the ability to put a grown man on your shoulders in a second. Perhaps it is a spell scroll that allows hostages to hover to your character's shoulders. Overall, Counter-Strike: Global Offensive is a surprisingly solid game about people with the worst gun handling abilities ever seen on Earth. Even though your characters have the aiming abilities of someone with Parkinsons Disease, you have many tactical options that make the game very fun and dynamic. It's worth picking up.	19.7
Pros: - Chickens Cons: - Not enough chickens	589.8
I slowly look at the luminescent green dial of my wristwatch, which tells me it is 5:46, am. Damn. Another night of Insomnia. I sit up in my bed, and listen to the soft hum of my Radeon HD 7870 GHz Edition, as her fans slowly cool the surface of her brilliant silicon plates. The only light in this room comes from the electric blue glow of my keyboard, and the azure LEDs in my Razer Abyssus. I press a button, and the display of a 23 inch, 1080p IPS monitor lights up, colors shifting and changing in psychedelic pattens, chromatic waves of light bluring and stabilizing to send an image within my mind. My desktop stares back at me; the only icon the Recycle bin. I move my eyes to the Taskbar, where the icons for Windows Explorer, Star Citizen, Mozilla Firefox, and lastly Steam return my gaze. I click on Steam, and watch as a loading bar appears. The light from the moniter shines brilliantly on my face, and if I look closely into it, I can see myself reflected in the crystal surface, eyes staring deep into a mad realm of pixels and insomnia. Steam finally loads. Oh, what's this? There's a sale on? Ah, too bad; I only have one cent in my wallet. I click the library tab in a futile attempt to find meaning. My list of games appears, showing me hints of open doors into new worlds, strange and wonderful. What path sould I choose? Should I join battle with Dragons, in the strage land of the Nords? Or, perhaps, I should launch the StarCitizen hangar module, and lust after a dream of flight, a game not yet finished. Ah, but here it is; Counter-Strike: Global Offensive. How many hours have I thus spent within you, oh CS:GO? You have been the reason for many nights without sleep, many days of ragequits, many days of fun and sadness. I pull out a calculator from somewhere on my desk: dividing one thousand, eight hundred and eighty-five hours by twenty-four tells me that I've been within this game for seventy-eight point five days so far. Damn. The game begins loading, and I hear the soft hum of GPU fans, and the silent sound of the sunrise, far beyond the single window of my room. _ Ah, where was I? I guess I feel alseep for a second there. Skip the intros, enter main menu, searc- Wait, what? 20 friends online? But, it's like 6 am... Oh, right, timezones. Eh, I might as well invite all these people. Well, I guess I didn't want to play with them anyway. Green light fills my room, I press accept, and wait for the ninth player. Who, it seems, never can figure out what the big glowing green button actually means. Oh well, it just found another match anyway. Well, third time's the chram, right? I guess not. Fourth time does it, and we're away. Cue loading screen, begin meaningless text I've seen only a few thousand times before. I get up, walk towards the kitchen, and only trip twice on miscellaneous paraphernalia in the dark hallways. The bleak windows of the room greet me: pale dawn, gray clouds and black trees visible through their panes. The neon numerals of the microwave tell the time as 6:07. I search the pantry and refr!gerator, but find nothing of value. I lower my standards and try again, this time coming up with a few tastless cookies of some kind. I begin a pilgrimage to whence I came. The last stars of night grow cold and die; as color once again spreads over the sky. Monitor glow, winter snow, cybernetic flow. My quest now complete, with prize in hand, I return to my chair. 0's and 1's stream across a fiberoptic gulf of space, connecting people hundreds of miles apart in a beautiful lattice of data, all for my enjoyment. I begin the first round, and purchase a FN Five-Seven and a Flashbang grenade. I move over to long A, and hold my sights on the old wooden doors. An insurgent sprints through the open door, firing his Glock-18 as fast as he can, his bullets hitting the wal beside my head. I pull the trigger, a volcanic plume of hot gas propelling a one gram lead alloy projectile at twice the speed of sound into the side of his head; The FN 5.728mm armor piercing round delivering a fatal 540 Joules of energy. The neon Stattrak display mounted on the left side of my Case Hardened Five-Seven increases by one, and a bright flare from the muzzle reflects its light in the cold metal of a name tag, the words "NOT ON MY WATCH" silently mocking those fools who fall by my pistol, in an absurd pun about clocks. Another Terrorist moves into view, I fire three supersonic rounds into his chest, and one in his skull. Again the neon numbers shift and rearrange in a mad dance, as bullets enter my manly chest hair and are absorbed. A third Terrorist fires, and I die in the gameworld, madly shooting as my bullets hit empty space. Pixels shift and change in an algorithmic song, and my teammates finish what I began, with the severing of a red wire a small number one is added in blue to the top of my screen. Second round, man. Time to roll. I got long- wait, why are two of you going there? Nevermind, I'll hold Catwalk. _ Turns out they decided to rush Mid with pistols. Poor choice. I leap out of catwalk into mid as they rush the doors, electric blue pathways of fire traversing the void between my tazer and and the insurgent's back. He screams in death as I drop the now-useless tazer and unholster a Bizon SMG; 9mm rounds begining to sputter at 320 meters per second into the backs of my foes as a Terrorist pulls a 180 and flicks a round into my skull with his CZ-75 Automatic, punching through my helmet into the flesh beneath. I mutter to myself "I ing hate that gun" while typing out "#TAZED " in all chat. Childish insults fly like eagles, soaring over skies of wire and valleys of silicon to majestically land in the lower right of my vision, proclaiming their wondrous messages for all to see. "get rekt" "u suck" "TIME to die, amirite" Using the mighty power of a pistol save round, the enemy gains a round. From far beyond my drywall cube, a sun the color of a Helium discharge tube bleeds the first light of Autumn into a sky the color of Krypton: but here I am safe from its incandescent fingers, here, the persistance of color exists in the 60hz of my monitor. Perhaps tomorrow will be different? Oh, but I don't think it will. The scoreboard moves with its own hateful volition, seemingly granting rounds with a heart of cinder and magma. Chaos lies within its eyes. Final round of the first half begins and I press f1 to auto buy, supplanting my XM1014 from the previous round with an M4A4 Bullet Rain, tastefully decorated with a "REKT" holographic sticker and renamed "Clockwork Assing". I once again reflect on what a stupid name that is, and regret selling my Desert Eagle Blaze to buy it. Surprisingly, my team manages to hold a push at long. In the simultaneous push to cat a rain of lead from a thundering sky finds my face with magnetic precision, and in the downtime I skim through my Ebook library on my phone. I've been considering writing something in the style of Neuromancer or Ready Player One for awhile now, perhaps if I can find the right subject... Oh well, that's a project for another day. Translation: never. Halftime, and the tally stands at ten for them and five for us. I've seen worse. I've seen better too, but what the hell, this isn't hopeless yet. Pistol round begins and I buy Dualies, partly just to  with people and partly because for reasons that I can neither explain nor defend I'm ridiculously good with them. Don't dis my Dualie skills, man. Just accept it. Like a wizard and his wand: you do not choose the Dualies, the Dualies choose you. I pop smoke Mid and rush Catwalk, suddenly realizing I hit the character limit while subsequently breaking the 4th wall. I slowly look at the luminescent green dial of my wristwatch, which tells me it is 6:34, am. Damn. Another night of Insomnia.	2309.4
Playing Counter-Strike: Global Offensive is like masturbating. Feels good doing it but later you regret it. And then you keep on doing it.	350.8
I bought this game for the chickens, and was not disappointed. After exploring the countless lands the chickens have traveled far and wide, I realized their population was growing too large. The chickens had started to inhabit such horrid locations across the world, such as nuclear plants, and offices without cafeterias. I knew what had to be done. I bought a flip knife off of the steam market, and called PETA. I listened to In the Arms of an Angel in my Microsoft Professional Deluxe Gaming Chair 360 for about twelve hours with no response, so, I decided to take matters into my own hands. I loaded up de_nuke and started to put the chickens out of their misery. I cried harder that night than I have ever before. The next morning, with tears in my eyes, I loaded up Counter-Strike: Global Chicken, and I saw a new item waiting in my inventory. My Flip Knife had turned into a Flip Knife Slaughter. At that moment, I realized what a horrible thing I had done. With my hand shaking, I navigated my mouse, and uninstalled Counter-Strike: Global Chicken. I regret everything I have done. I am writing this review to warn you about the chickens, and to let you know I have made a full recovery, and that I have started my new journey in Goat Simulator. Thank you, and farewell.	797.5
Knife = free Knife with paint on it = 200$	264.1
Ruined my life, 5 Stars.	1077.9
After more then 10 years , the Counter Terrorist need a Defuse Kit to defuse a bomb with the same defuse number as all other bombs.	400.5
I shoot bullets at a person, and they die from it. Sometimes they do not. Sometimes they shoot me. Very deep storytelling.	258.4
This game made me realize how many 8 year olds ed my mom. 8/8 m8	553.3
Counter-Strike: Angry Russians and Screaming American kids.	699.8
This game has the best Chicken AI of gaming history. 10/10 would knife those chickens again.	110.9
Your self-esteem either dies in this game or it inflates to unbearable proportions.	448.2
How to get an expensive knife: Step 1: You don't. Hope this helps!	1016.3
10/10 would spend 100 on keys again so I can relive the experience of getting 20 galil sandstorms	767.7
Great way to lose all confidence you had in yourself and the confidence in your team, whilst being called a Noob in more languages then you will understand, and be laughed at because you still run default skins. 10/10 Would recommend to family and friends	1224.0
CS GO in a nutshell: ANGRY RUSSIAN:  blyat GUY THAT HATES RUSSIANS: STFU stooped russian ANGRY RUSSIAN: Idi nahui american kid GUY THAT HATES RUSSIANS: PUTIN PUTIN PUTIN ANGRY RUSSIAN: OBAMA OBAMA OBAMA GUY THAT HATES RUSSIANS: FU stooped freak ANGRY RUSSIAN:  Random guy: This game is so cool ''Random guy got Banned for inappropriate language'' 10/10 (sorry for dem bad wordz )	977.9
Holiday updates make the chickens that roam around the maps dress up. 10/10	1036.3
CSGO is a near-perfect multiplayer shooter. Unlike the previous versions, which were often difficult to get in to, this one offers a variety of modes that will appeal to all skill levels. It has a large community and a well supported workshop, ensuring that this discount-priced game will be around for years to come. In short, you either play as the good or bad guys and must either kill the other team or complete objectives to win the round, which will earn you more money to do the same thing again but faster. It's been around for years and has spawned many imitators. The game isn't much of a looker as it is based on the same engine as the original Half Life 2 was. However, Valve have polished it as much as they can and the community consists of lots of awesome mappers who have been churning out brilliantly imaginative and beautiful maps almost on a daily basis. Is it worth getting if you already own Counter Strike: Source? Yes. CSS was always Counter Strike shoe-horned into the Source engine. CSGO feels far more like a standalone game. Valve have very carefully listened to what people have wanted and have made a very appealing game. The best feature must be the competitive play. You cannot leave these matches or you'll suffer a temporary ban from the feature. After 10 wins in this mode you'll be ranked and will be paired up with people of the same skill, meaning that the game is challenging but fair regardless of your skill level. These matches are exciting, occasionally scary or frustrating, but are the most rewarding part of the game and improving your rank is one of the most satisfying experiences in any video game, ever. There are all kinds of teams and communities that you can join. Really, if I was stuck on a desert island with one game this would most likely be my top choice. It's bigger than you can hope to conquer and has a huge community around it which will likely be around for years to come, something that can't be said for the Call of Duty franchise which is probably its closest rival. Remember that those games are full price and have another one churned out each year, fragmenting the community. Plus you can customise your weapon skins in CSGO. Surely that's the most important feature?! All they need to add now are hats and you might as well live in CSGO.	1646.0
Dust 2 : Global Offensive	1540.4
I came to this game for my fetish of chickens. When playing the game, I realised that not every map has chickens on it, so I slowly got angrier with the game... The lack of chickens boiled my blood. CSGO made me angry, Until, I found my dream love, Deathmatch. A Chicken on any map, right then.. I'd kick the bots, and chase the chickens around for hours. Ah, It was so pleasurable, How I would do it for hours on end. The chickens are perfect. I play this game for hours on end, and the chickens never disapointment me now, Oh Chickens, how you are my one true love. I can't focus at school anymore.. I only think about chickens, on the way home from school there is a KFC, I walk past it every day, I think of chickens, One time, I literally stopped, and took a fap to one of the chickens. Ah, It was so good. Chickens I love them Oh Chickens THANK YOU GABEN 5/5 I love chickens.	2143.4
Its a good game if you enjoy: Teamwork Fast paced Russians Shooters  Rage Ranking systems	256.0
>Open case >Want asiimov >Got bizon > the end 10/10 never open case again	755.6
When People Say This Game Is Bad... I'm Globally Offended. YEAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH	88.5
competitive 4 wild russians appear  BLYAT GeT_KiCkEd for not being russian 5/5	92.4
If This game was a potato it would be a good potato.	54.0
Erm. Go buy it. Buy 3 copies of it. Rotate your accounts as you get MM cooldowns for the inevitable rage. Find a friendly server with a good community. Don't buy keys. Seriously Don't Buy Keys. Really.	1649.5
1.)case drop 2.)buy key 3.)open case 4.)wants extraordinary wep or knife 5.)got common wep 6.)buy more cases and keys 7.)got more common weps 8.)rage 9.)repeat 11/10 well done gaben would buy again	282.2
This game is so good for your education. I've learned more russian while playing this game for 2 months, than in my entire life.	254.9
If you have friends, this is a great game to play with them. If you don't have any friends, this is a great game to play alone. If you don't have the game to play, get money for it. If you don't have the money for it, get a job. If you don't have a job, rob a bank. If you get arrested robbing the bank, at least you tried.	358.3
This game ruined my life. 10/10	1237.4
I rate this game 8 out of 10 russians.	350.4
This game has been planned perfectly. Gabe's plan has worked perfectly. I have unboxed around 2,400 cases so far and gotten 8 knives. I have spent around $13,000 on this game so far and still play like . I have played over 200 competitive matches and am still a Silver. Every matchmaking team I get is a team of Russians who like saying "" and have a grudge against Obama and have a microphone that sounds like a cat trying to gargle shards of glass. I will keep on unboxing cases, playing like a handicapped person, stay on Silver and keep buying expensive skins that apparently are supposed to make me better but don't. Because after all, Gabe is love, Gabe is life.	489.9
I play CS:GO since Novemeber 2013 and it's one of the best Counter Strike's made. I played nearly 10 years CS:S and it was hard to get into the new CS but its worth. Pretty good game :)	4152.6
Don't try to win. You'll lose. Try to lose. You'll win. 10/10 Matchmaking	815.7
wow i totally hit that guy wtf	483.8
Best chicken chasing simulator of 2014	607.7
Bought this game for the storyline 10/10	122.6
will never get a rank up. 10/10	1142.0
When I was young, tragedy struck my neighborhood when a bomb went off in a local park. I lost my dear uncle in that accident. Along with my pet cat, two hamsters, one very courageous gold fish, my tickle-me elmo doll, and all of my foil Yu-Gi-Oh cards. It was the first time I experienced tragedy and despair, feelings that cut so deep I vowed to exact revenge upon whoever did this. I trained every day, running 25 miles a week, lifting weights in 15 pound increments, taking protein supplements as well as spending the majority of my weekends at the firing range. I enlisted in the military, only to be turned down because I was "only a kid." Then, I discovered Counter-Strike;Global Offensive. A perfect simulation of the events I wanted to prevent and take action upon, I was hooked immediately. I threw away my running sneakers for wool socks and sweatpants, as well as a swiveling chair. I put down my weights and protein supplements for Taco Bell and Instant Noodles. I stopped visiting the fire range and instead purchased a Razer gaming mouse. Worth. My uncle's still dead though.	463.5
Must buy if you love FPS games! This game is all about personal progression, since it comes with a high learning curve, it's not about unlocking some stupid grip or scope for your gun. It's about you, that has to learn. The game is updated almost once a week with new features and content, Match Making is great when you are playing with friends. The real game for people that love to play competitively, with a team or just solo. There are also casual game modes available for the people that don't like to play competitively, such as Arms Race, Deathmatch, Hostage and Defusual missions which can be played on casual style, or mostly known as public or community servers. These modes are great to learn the game, and improve your play.	2493.5
Match Making.  Skill levels and ranks, play against players of your own skill level.  Competitive scene, with ladders and tournaments.  The CS feeling, transition from older CS games to CS:GO isn't that hard.  Most old maps from CS, are in the game.  No perks and other unnecessary clutter.  Great spectator sport, easily to understand and interesting to watch!  No pay to win model, all items are purely cosmetic.	422.4
Match Making 64 tick servers stability could be improved.  Game could use some optimization here and there.  Cheaters now and then, but that's online gaming for you.	151.5
SAID THAT I AM FROM RUSSIA @ GOT AN INSTAKICK 11/10 BEST COMMUNITY OUT OF THERE! WOULD PLAY AGAIN!	207.2
All features ripped from Hello Kitty Online. 4/20 -Volkswagen	1444.5
This game is so cool. I really like competitive mode! It features amazing maps like: de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, de_dust2, AND de_dust2! no but seriously this game sucks, you can't wear guns on your heads like hats. 2/10 "Like Call of Duty with guns!"	162.0
This game is awesome and features many different maps, some of those inclue: de_dust 2, de_dust 2, de_dust 2, de_dust 2, de_dust 2, de_dust 2, de_dust 2, and don't forget about de_dust.	429.6
When People Say This Game Is Bad... I'm Globally Offended. YEAHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH	328.5
This game ruined my life, I tried to defuse the microwave when there was 1 second left and my cat exploded. I asked Gaben for a Knife but he gave me a bizon. 10/10 would defuse again.	1410.6
It's like masturbating but with a glove on, its rough for the first couple times, but you get use to it after awhile. totally worth the redness.	112.5
I did'nt played it that much. But Its Alright , I guess.	1941.7
"I'm not gonna be one of those case-opening addicts, it's ok to buy this game, especially on 50% sale wow" *200$ later...* "I bet I won't get a negev terrain on the next one" Screw this lovely game <3	282.5
You shoot people, sometimes they die, sometimes you die. 10/10 Also: Best country hate simulator.	814.5
You can shoot people and stuff it's pretty fun I guess. Though one time a Russian dude said I smelled like cucumbers and it was very offputting. Also people make fun of my voice and ask me if I'm a girl, then proceed to add me on Steam and one man sent me a picture of his private parts. Was very awkward, but the game is very fun to play.	1099.0
Its a game where I spend hours getting guy's loads sprayed all over my face and chest. Sometimes more then one guy at a time.	96.5
Got called a Hacker, Best moment in my life	490.8
this game ruined my life, i almost killed my mom during competitive because of russians and gabe took all of my money 10/10 would play again	1638.0
played counter-strike for 15 years, now I pay money to kill chickens , 11/10 would go KFC again	587.1
the book is better Source:	267.7
Best point and click game.	952.1
Your #1 Russian teacher	83.5
its ok	1714.2
I don't know what to say about this game, so here is a recipe for pancakes, Ingredients: 4tbsp plain flour (about 100g) 1 large free range egg  pint semi-skimmed milk + water (about 300ml -  milk  water) Pinch of salt Butter for frying How to make pancakes: Sieve the flour and salt into a large bowl and make a well in the mixture. Break in the egg and stir to make a breadcrumby mix. In a jug add 1/3 of a pint of milk and top up with water to make 1/2 a pint (200ml milk, 100ml water) - this makes a lovely light batter. Add the milk and the water mix bit by bit, beating constantly to avoid lumps. Tip:*If you have a food processor just throw all the ingredients in and zap until smooth! Pop a large frying pan over a medium heat. Add a large knob of butter (roughly 50g) and melt. Pour the excess butter into a small bowl and reserve it for later. Using a ladle pour a spoonful of the pancake batter into the hot pan and swirl to get a full covering - cook for about 1 min each side (it's ready when it's easy to flip over). Serve immediately with sugar and lemon or other exciting toppings. We love cheese and Marmite for an extra British twist! Delicious!!	710.2
Kill someone with a P90 - "You're a ing noob!! Noob weapon!!" Kill someone with a P90 through a smoke - "You're a ing hacker!!" Kill someone with a AWP - "You're a ing noob!! Noob weapon!!" Kill someone with a AWP through a door - "You're a ing hacker!!" In a 1 vs 5 you die - "You're a ing noob!!" In a 1 vs 5 you win - "You're a ing hacker!!" Kill someone with a headshot - "Hacker!!" Get headshoted by someone - "Owned!!" and get teabagged Kill someone with a grenade - "Luck!!" Get killed by someone with a grenade - "AHAHAHAHA" Get teamkilled by someone - "Get out of the way you ing idiot!!" Accidentally teamkill someone - "You're a ing idiot!!" Blocked by someone - Dies Accidentally blocks someone - "Get out the way you ing idiot!!" Decide to save - "You're a ing coward!!" Decide not to save - "Save you ing idiot!!" Kill someone while defending the bomb - "You ing camper!!" Kill someone while defending the hostages - "You ing camper!!" Someone dies - The deceased one starts to rage Your team lose the round - Your team starts to rage Your team is losing 10-2 - Someone rages quit Go to the balcony in Italy - "You ing hacker!!" Worst guy receives a drop - "Are you ing serious!?" Warm up - Everybody tries to spawn kill Score is 5-1 in your favor - "This is a T map!" Score is 1-5 againts you - "This is a CT map!" Lose the first 2 rounds - Someone asks to get kicked Last round - Everybody buys Negev Your team is loosing and you are in last - Someone vote to kick you Win a match - All enemy team rages Lose a match - Your team rages Someone's Internet crashes - 30 minutes ban Your Internet crashes - 7 days ban The RAGE Simulator is REAL Copied review.	32.3
I almost died once.	1540.0
Kill someone with a P90 - "You're a ing noob!! Noob weapon!!" Kill someone with a P90 through a smoke - "You're a ing hacker!!" Kill someone with a AWP - "You're a ing noob!! Noob weapon!!" Kill someone with a AWP through a door - "You're a ing hacker!!" In a 1 vs 5 you die - "You're a ing noob!!" In a 1 vs 5 you win - "You're a ing hacker!!" Kill someone with a headshot - "Hacker!!" Get headshoted by someone - "Owned!!" and get teabagged Kill someone with a grenade - "Luck!!" Get killed by someone with a grenade - "AHAHAHAHA" Get teamkilled by someone - "Get out of the way you ing idiot!!" Accidentally teamkill someone - "You're a ing idiot!!" Blocked by someone - Dies Accidentally blocks someone - "Get out the way you ing idiot!!" Decide to save - "You're a ing coward!!" Decide not to save - "Save you ing idiot!!" Kill someone while defending the bomb - "You ing camper!!" Kill someone while defending the hostages - "You ing camper!!" Someone dies - The deceased one starts to rage Your team lose the round - Your team starts to rage Your team is losing 10-2 - Someone rages quit Go to the balcony in Italy - "You ing hacker!!" Worst guy receives a drop - "Are you ing serious!?" Warm up - Everybody tries to spawn kill Score is 5-1 in your favor - "This is a T map!" Score is 1-5 againts you - "This is a CT map!" Lose the first 2 rounds - Someone asks to get kicked Last round - Everybody buys Negev Your team is loosing and you are in last - Someone vote to kick you Win a match - All enemy team rages Lose a match - Your team rages Someone's Internet crashes - 30 minutes ban Your Internet crashes - 7 days ban	756.0
Counter Strike: Global Offensive, the remake of the classic CS games and not to our surprise, the devs did a good job. One of the lovely things about it, that of had not been kept I seriously doubt the game would be as popular as it is currently, it keeps the mechanics from the classic CS and CS:S and adds a few of it's own, that the original CS and CS:S games could have done with. CSs weak point was always the graphics, the original games were based of the HL1 engine, which I am sure all you are aware is reasonably old, although its added a new range of updated maps, including two operations. The most recent being Operation Bravo in which a number of maps were added to the game as DLC. And once again, Valve have decided to take the generous approach to this, an example is that if the lobby leader has the Operation Bravo pass, and no one else does, everyone can play Op. Bravo, good job Valve, you did it again. What was missing/wrong with this game has been fixed by Valve, which is fantastic. Items have been added, you can have gun camos which is an nifty feature, although many think it's turning into TF2, which is a valid point, but Valve need there money, if you take a look at the price of the game, its not exactly the same as COD (ew) which has a hefty price tag of 40 ($60 I think) and CSGO managed to do fine at 12, which I think is $15 in the US. Sadly I did not play the original CS, I have however obviously seen gameplay, and watched friends play it. I have played a small amount of CS:S and compared it to CSGO, which was considerably easy, some of the main differences are simply that the problems that those games have/had have been completely eradicated from CSGO which is brilliant. Such as small things that could be exploited in competitive games, such as the saving mechanic. In CS if you die, you lose all your weapons, they will be dumped on the ground for another enemy to come along and pickup, players if they knew they were going to use they would hide away from the enemies, so they would be able to keep there gun for the next around, the problem with this is that they would still get money from doing this, and therefore be exploiting the system in some peoples opinion, it was recently fixed that instead of getting money if you lose and youre still alive you simply gain $0. The CSGO match making system is an exceptional feature, the ability to play against players that are at the same skill level is much better than being forced to browse through thousands of servers in attempt to find one that suits you with a enemy team you can play against, and it is a fun game for both teams instead of one team getting obliterated by the other. Matchmaking works by waiting till you have 10 wins or 9 wins and a draw on your account before being rewarded with a competitive rank. Here are all the current ranks available in game.	702.9
